,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,,-additional
Rk,Player,SCA/90,PrgC/90,Att 3rd/90,PrgR/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Pos,-9999
39,Reda Belahyane,1.9,0.9,6.3,0.3,2024-2025,20,ma MAR,Hellas Verona,it Serie A,7,610,6.8,6,1,0,MF,705a1642
40,Williot Swedberg,1.9,1.7,20.1,7.9,2024-2025,20,se SWE,Celta Vigo,es La Liga,9,377,4.2,4,5,0,FWMF,184fe4b2
41,Mathis Amougou,1.8,0.7,7.4,0.7,2024-2025,18,fr FRA,Saint-Étienne,fr Ligue 1,7,537,6.0,7,0,0,MF,f93cca97
42,Valentin Atangana Edoa,1.7,0.8,6.3,0.8,2024-2025,18,fr FRA,Reims,fr Ligue 1,7,597,6.6,7,0,0,MF,6b5edd5d
43,Habib Diarra,1.6,2.2,9.7,3.2,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,7,568,6.3,7,0,0,MFFW,6d0fe035
44,Jhon Solis,1.6,0.0,12.1,2.5,2024-2025,19,co COL,Girona,es La Liga,6,289,3.2,2,4,3,MF,1282939a
45,Hugo Larsson,1.4,0.4,8.0,0.7,2024-2025,20,se SWE,Eint Frankfurt,de Bundesliga,6,507,5.6,6,0,0,MF,00c9a283
46,Rico Lewis,1.3,2.6,22.1,6.1,2024-2025,19,eng ENG,Manchester City,eng Premier League,6,485,5.4,6,0,1,MFDF,b57e066e
47,Caleb Wiley,1.3,0.8,12.7,3.0,2024-2025,19,us USA,Strasbourg,fr Ligue 1,3,213,2.4,2,1,0,DFMF,64796fe0
48,Kobbie Mainoo,1.1,0.8,12.3,1.7,2024-2025,19,eng ENG,Manchester Utd,eng Premier League,7,571,6.3,7,0,0,MF,c6220452
49,Rabby Nzingoula,0.9,1.8,12.6,3.4,2024-2025,18,cg CGO,2 Teams,fr Ligue 1,4,293,3.3,3,1,1,MF,627c7a3d
50,Warren Bondo,0.7,1.0,5.4,0.8,2024-2025,20,fr FRA,Monza,it Serie A,7,550,6.1,6,1,0,MF,0def2376
51,Antoine Mendy,0.6,0.6,2.8,0.9,2024-2025,20,fr FRA,Nice,fr Ligue 1,5,285,3.2,3,2,2,DFMF,3322e296
52,Marc Bernal,0.4,0.0,7.8,0.7,2024-2025,17,es ESP,Barcelona,es La Liga,3,242,2.7,3,0,0,MF,29117812
