,,,Expected,Expected,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Ast,xA,xAG,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
19,Vinicius Júnior,4,2.7,3.6,2024-2025,24,br BRA,Real Madrid,es La Liga,11,905,10.1,10,1,0,5,4,9,3,2,2,0,3.4,2.1,3.6,7.0,2.7,5.7,+1.6,+0.9,+0.4,0.07,29,0.10,0.60,5,17.2,18.9,0,FW,7111d552
20,Ademola Lookman,4,2.6,2.1,2024-2025,26,ng NGA,Atalanta,it Serie A,7,428,4.8,6,1,1,4,4,8,3,1,1,0,3.5,2.7,2.1,5.7,2.6,4.9,+0.5,+0.3,+1.9,0.14,20,0.15,0.38,8,40.0,15.3,0,MFFW,7c104bb7
21,Ousmane Dembélé,4,2.9,4.0,2024-2025,27,fr FRA,Paris S-G,fr Ligue 1,8,520,5.8,6,2,1,4,4,8,4,0,0,0,3.2,3.2,4.0,7.2,2.9,7.2,+0.8,+0.8,0.0,0.11,28,0.14,0.27,15,53.6,16.3,0,FW,b19db005
22,Álex Berenguer,4,1.5,1.9,2024-2025,29,es ESP,Athletic Club,es La Liga,10,617,6.9,7,3,1,1,4,5,1,0,1,1,2.2,1.4,1.9,4.2,1.5,3.4,-1.2,-0.4,+2.1,0.10,14,0.07,0.25,4,28.6,19.2,0,FWMF,dc1c2fce
23,Antoine Griezmann,4,2.4,3.0,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,11,826,9.2,9,2,0,3,4,7,3,0,0,0,1.5,1.5,3.0,4.5,2.4,4.5,+1.5,+1.5,+1.0,0.12,12,0.25,0.60,5,41.7,17.2,2,FWMF,df69b544
24,Valentino Lazaro,3,1.4,1.4,2024-2025,28,at AUT,Torino,it Serie A,10,831,9.2,10,0,0,0,3,3,0,0,0,0,0.6,0.6,1.4,2.0,1.4,2.0,-0.6,-0.6,+1.6,0.07,8,0.00,0.00,1,12.5,18.9,2,DF,016ff750
25,Sergio Gómez,3,3.0,4.4,2024-2025,23,es ESP,Real Sociedad,es La Liga,11,868,9.6,10,1,0,0,3,3,0,0,0,0,0.2,0.2,4.4,4.5,3.0,4.5,-0.2,-0.2,-1.4,0.04,5,0.00,0.00,3,60.0,28.6,2,MFDF,01e5f06e
26,Gaëtan Perrin,3,1.5,2.9,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,9,513,5.7,6,3,0,1,3,4,1,0,0,0,0.6,0.6,2.9,3.5,1.5,3.5,+0.4,+0.4,+0.1,0.05,12,0.08,0.33,3,25.0,22.7,1,MFFW,10dd88f9
27,Christian Pulisic,3,1.8,2.2,2024-2025,25,us USA,Milan,it Serie A,9,664,7.4,8,1,0,5,3,8,4,1,1,0,3.5,2.7,2.2,5.8,1.8,5.0,+1.5,+1.3,+0.8,0.20,14,0.29,0.50,8,57.1,16.6,1,FWMF,1bf33a9a
28,Rafael Leão,3,1.7,1.8,2024-2025,25,pt POR,Milan,it Serie A,8,541,6.0,6,2,1,1,3,4,1,0,0,0,2.1,2.1,1.8,3.8,1.7,3.8,-1.1,-1.1,+1.2,0.09,24,0.04,0.09,11,45.8,18.4,0,FW,20730eae
29,Mikkel Damsgaard,3,1.8,2.7,2024-2025,24,dk DEN,Brentford,eng Premier League,9,629,7.0,7,2,0,0,3,3,0,0,0,0,0.7,0.7,2.7,3.4,1.8,3.4,-0.7,-0.7,+0.3,0.12,6,0.00,0.00,3,50.0,14.8,1,MFFW,215f3907
30,Dilane Bakwa,3,2.5,3.0,2024-2025,21,fr FRA,Strasbourg,fr Ligue 1,9,784,8.7,9,0,0,1,3,4,1,0,0,0,1.7,1.7,3.0,4.7,2.5,4.7,-0.7,-0.7,0.0,0.09,19,0.05,0.10,10,52.6,21.4,3,FWDF,2b5a35e5
